"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 08 23:50:12 BST 2024","Mon Apr 08 23:50:12 BST 2024","109","","","","","","User clicks on a navigation tab -- @1.4 ",""
"broken","Mon Apr 08 23:50:12 BST 2024","Mon Apr 08 23:50:12 BST 2024","100","","","","","","User clicks on a navigation tab -- @1.5 ",""
"broken","Mon Apr 08 23:50:12 BST 2024","Mon Apr 08 23:50:12 BST 2024","135","","","","","","User searches for a job title",""
"failed","Mon Apr 08 23:50:09 BST 2024","Mon Apr 08 23:50:12 BST 2024","2587","","","","","","User clicks apply on a job listing after searching for 'test automation'",""
"broken","Mon Apr 08 23:50:12 BST 2024","Mon Apr 08 23:50:12 BST 2024","107","","","","","","User clicks the sign-out link",""
"broken","Mon Apr 08 23:50:12 BST 2024","Mon Apr 08 23:50:13 BST 2024","109","","","","","","User sorts the job listings -- @1.1 ",""
"broken","Mon Apr 08 23:50:12 BST 2024","Mon Apr 08 23:50:12 BST 2024","114","","","","","","User clicks on a navigation tab -- @1.1 ",""
"broken","Mon Apr 08 23:50:12 BST 2024","Mon Apr 08 23:50:12 BST 2024","100","","","","","","User refines job search",""
"broken","Mon Apr 08 23:50:12 BST 2024","Mon Apr 08 23:50:12 BST 2024","123","","","","","","User clicks on a navigation tab -- @1.3 ",""
"broken","Mon Apr 08 23:50:13 BST 2024","Mon Apr 08 23:50:13 BST 2024","113","","","","","","User sorts the job listings -- @1.2 ",""
"broken","Mon Apr 08 23:50:12 BST 2024","Mon Apr 08 23:50:12 BST 2024","110","","","","","","User clicks on a navigation tab -- @1.2 ",""
